projectname,viewname,ordinal,varname,vartype,varlength,varformat,varlabel
Mediflex,V_MEDIFLEX_ADDCYCLE,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_ADDCYCLE,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_ADDCYCLE,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_ADDCYCLE,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_ADDCYCLE,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_ADDCYCLE,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_ADDCYCLE,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_ADDCYCLE,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_ADDCYCLE,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_ADDCYCLE,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_ADDCYCLE,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_ADDCYCLE,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_ADDCYCLE,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_ADDCYCLE,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_ADDCYCLE,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_ADDCYCLE,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_ADDCYCLE,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_ADDCYCLE,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_ADDCYCLE,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_ADDCYCLE,20,TargetDays,num,8,10.,Target days from study start
